ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
168    CAY04    CS29518-051                *       RG     1_24_10.015      -28_15_21.08     96.42     13.62    13.02    11.54    11.032   5200   2.6    -2.8    1.4    2MASS_J01241001-2815210              -2.65    -2.51   
171    AOK08    SDSS0126+06                NO      MS     1_26_17.95       6_7_24.9         -274.31   15.9     *        14.821   14.468   6600   4.1    -3.2    2      2MASS_J01261795+0607248              -3.16    -2.57   
172    AOK13    SDSSJ012617.95+060724.8    NO      SG     1_26_17.95       6_7_24.9         -274.31   15.9     *        14.821   14.468   6900   4      -3.01   1.5    2MASS_J01261795+0607248              -3.01    -2.35   
173    LI15a    LAMOSTJ0126+0135           *       RG     1_26_58.57       1_35_15.3        -256      13.7     *        10.687   9.998    4330   0.1    -3.57   2.8    2MASS_J01265856+0135153              -3.57    -3.15   
174    ROE14b   CS29504-006                CR      SG     1_32_4.973       -36_22_42.96     -90       14.87    14.49    13.565   13.354   6150   3.7    -2.91   1.6    2MASS_J01320497-3622429              -3.12    -2.75   
175    BAR05    HE0131-2740                *       RG     1_33_25.77       -27_25_27.99     51.7      15.222   14.632   13.246   12.788   5351   3.03   -3.08   1.62   2MASS_J01332576-2725279              -3.08    -2.73   
176    BAR05    HE0131-3953                CR      SG     1_33_36.459      -39_37_51.96     67.5      16.4     15.979   14.897   14.695   5928   3.83   -2.71   1.06   2MASS_J01333645-3937519              -2.68    -2.39   
177    HAN15    HE0134-1519                CR      RG     1_37_5.371       -15_4_22.75      *         14.937   14.474   13.106   12.675   5500   3.2    -4      1.5    2MASS_J01370537-1504227              -3.98    -3.73   
178    HAN14    HE0134-1519                NO      RG     1_37_5.371       -15_4_22.75      *         14.937   14.474   13.106   12.675   5500   3.2    -4      1.5    2MASS_J01370537-1504227              -3.98    -3.75   
179    BAR05    HE0143-4146                *       RG     1_45_18.032      -41_31_46.42     -16.3     15.519   14.712   13.144   12.477   4799   1.5    -2.94   2.03   2MASS_J01451803-4131464              -2.95    -2.56   
180    BAR05    HE0143-4108                *       RG     1_45_19.935      -40_53_36.3      55.5      15.6     15.193   13.777   13.226   5121   2.41   -2.62   1.51   2MASS_J01451993-4053363              -2.62    -2.62   
181    COH04    HE0143-0441                CR      MS     1_45_37.92       -4_26_43.4       121.8     16.3     16.38    15.443   15.034   6370   4.4    -3      1.6    2MASS_J01453792-0426434              -2.21    -1.75   
182    COH06    HE0143-0441                CR      SG     1_45_37.92       -4_26_43.4       121.8     16.3     16.38    15.443   15.034   6240   3.7    -2.31   1.6    2MASS_J01453792-0426434              -2.36    -1.74   
183    COH13    HE0143-0441                CR      SG     1_45_37.92       -4_26_43.4       121.8     16.3     16.38    15.443   15.034   6240   3.7    -2.31   1.6    2MASS_J01453792-0426434              -2.31    -1.7    
184    BAR05    HE0143-1135                *       MS     1_46_10.332      -11_20_10.79     -223.1    16.047   15.479   14.361   13.988   5629   4.53   -2.13   1.42   2MASS_J01461033-1120107              -2.13    -1.82   
186    YON13    HE0146-1548                NO      RG     1_48_34.721      -15_33_24.38     -114.9    16.406   15.725   13.975   13.422   4636   0.99   -3.46   2.1    2MASS_J01483472-1533243              -3.46    -2.59   
187    BAR05    HE0157-3335                *       RG     2_0_0.224        -33_21_22.05     -175.2    15.196   14.372   12.743   12.152   4775   1.62   -3.08   1.86   2MASS_J02000022-3321220              -3.08    -2.7    
188    ROE14a   CS22958-042                CR      SG     2_1_7.432        -57_16_58.82     151       14.037   14.52    13.515   13.213   5760   3.55   -2.99   0.95   2MASS_J02010743-5716588              -3.4     -2.65   
189    ROE14b   CS22958-042                CR      SG     2_1_7.432        -57_16_58.82     151       14.037   14.52    13.515   13.213   5760   3.55   -2.99   0.95   2MASS_J02010743-5716588              -3.4     -2.65   
190    SIV06    CS22958-042                NO      SG     2_1_7.432        -57_16_58.82     151       14.037   14.52    13.515   13.213   6250   3.5    -2.85   1.5    2MASS_J02010743-5716588              -2.85    -2.55   
191    BAR05    HE0200-0955                *       RG     2_3_16.21        -9_40_48.82      73.6      15.2     14.907   13.462   12.939   5216   2.57   -2.46   1.79   2MASS_J02031620-0940488              -2.47    -2.15   
192    JAC15    2MASS_J02031860-7930291    *       RG     02_03_18.606     -79_30_29.14     *         *        *        12.244   11.605   4720   1.1    -3.03   2.45   2MASS_J02031860-7930291              -3.03    -2.51   
193    BAR05    HE0202-2204                CR      RG     2_4_50.019       -21_50_10.28     108.2     15.4     15.375   14.098   13.639   5280   1.65   -1.98   2.47   2MASS_J02045001-2150102              -1.98    -2.01   
194    AOK07a   HE0206-1916                NO      RG     2_9_19.627       -19_1_55.5       *         15.133   13.999   12.243   11.66    5200   2.7    -2.2    2      2MASS_J02091962-1901554              -2.14    -1.64   
195    YON13    HE0207-1423                NO      RG     2_10_0.697       -14_9_11.05      -209.6    15.836   15.037   13.67    13.162   5023   2.07   -2.95   1.3    2MASS_J02100069-1409110              -2.95    -2.41   
196    COH06    HE0212-0557                NO      RG     2_15_2.51        -5_43_23.6       -230.6    15.5     14.7     13.116   12.565   5075   2.15   -2.27   1.8    2MASS_J02150250-0543235              -2.32    -2.28   
197    COH13    HE0212-0557                NO      RG     2_15_2.51        -5_43_23.6       -230.6    15.5     14.7     13.116   12.565   5075   2.2    -2.27   1.8    2MASS_J02150250-0543235              -2.27    -2.25   
198    BAR05    CS22958-083                *       RG     2_15_42.723      -53_59_56.19     180       15.09    14.44    12.946   12.394   5101   2.4    -2.79   1.5    2MASS_J02154272-5359561              -2.79    -2.41   
199    PRE06    CS22958-083                NO      RG     2_15_42.723      -53_59_56.19     180       15.09    14.44    12.946   12.394   4900   1.9    -2.5    1.5    2MASS_J02154272-5359561              -2.97    -2.5    
200    ROE14b   CS22958-083                *       RG     2_15_42.723      -53_59_56.19     180       15.09    14.44    12.946   12.394   4900   1.75   -3.04   1.4    2MASS_J02154272-5359561              -3.05    -2.46   
201    BAR05    CS22175-007                *       RG     2_17_26.625      -9_0_45.13       -5        14.14    13.49    11.961   11.437   5108   2.46   -2.81   1.67   2MASS_J02172662-0900451              -2.81    -2.45   
203    PRE00    CS22175-034                *       SG     2_20_21.515      -10_38_8.95      50        12.97    12.6     11.834   11.622   7100   3.9    -0.28   2.5    2MASS_J02202151-1038089              -0.26    0.04    
204    BAR05    CS29510-058                *       RG     2_21_46.564      -24_1_58.61      153.1     14.2     13.53    12.008   11.464   5108   2.32   -2.61   1.62   2MASS_J02214656-2401586              -2.61    -2.37   
208    AOK07a   CS29528-028                NO      SG     2_28_26.55       -21_33_0.94      *         14.862   14.51    13.755   13.537   6800   4      -2.9    1.9    2MASS_J02282654-2133009              -2.91    -1.24   
210    BAR05    HE0231-4016                NO      SG     2_33_44.394      -40_3_42.87      180.8     16.494   16.09    15.131   14.866   5972   3.59   -2.08   1.67   2MASS_J02334439-4003428              -2.08    -1.88   
211    HAN15    HE0233-0343                CR      SG     2_36_29.79       -3_30_6.01       *         15.867   15.43    14.359   14.063   6100   3.4    -4.7    2      2MASS_J02362978-0330060              -4.68    -4.09   
212    HAN14    HE0233-0343                NO      SG     2_36_29.79       -3_30_6.01       *         15.867   15.43    14.359   14.063   6100   3.4    -4.7    2      2MASS_J02362978-0330060              -4.68    -4.11   
213    AND10    CS31061-032                *       MS     2_38_43.293      3_19_2.44        *         14.3     13.9     12.871   12.61    6410   4.3    -2.58   1.4    2MASS_J02384329+0319024              -2.58    -2.38   
214    BON09    CS31061-032                *       MS     2_38_43.293      3_19_2.44        *         14.3     13.9     12.871   12.61    6409   4.25   -2.58   1.4    2MASS_J02384329+0319024              -2.58    -2.38   
216    SHE03    Fnx25                      *       RG     2_39_47.12       -34_31_49.9      47.47     20.269   18.59    15.924   15.345   4025   0      -1.21   2      2MASS_J02394711-3431499              -1.19    -1.21   
217    SHE03    Fnx21                      *       RG     2_40_4.41        -34_27_11.6      52.43     19.946   18.37    15.632   14.758   4000   0.5    -0.67   1.7    2MASS_J02400441-3427115              -0.65    -0.49   
219    AND10    CS22189-009                *       RG     2_41_42.375      -13_28_10.53     -42       14.73    13.97    12.391   11.798   4900   1.7    -3.49   1.9    2MASS_J02414237-1328105              -3.49    -3.31   
220    CAY04    CS22189-009                *       RG     2_41_42.375      -13_28_10.53     -42       14.73    13.97    12.391   11.798   4900   1.7    -3.5    1.9    2MASS_J02414237-1328105              -3.49    -3.4    
221    MCW95    CS22189-009                *       RG     2_41_42.375      -13_28_10.53     -42       14.73    13.97    12.391   11.798   4860   1.7    -3.4    2.28   2MASS_J02414237-1328105              -3.42    -3.05   
222    ROE14b   CS22189-009                *       RG     2_41_42.375      -13_28_10.53     -42       14.73    13.97    12.391   11.798   4540   0.6    -3.85   1.65   2MASS_J02414237-1328105              -3.92    -3.48   
225    BAR05    HE0240-6105                *       RG     2_42_6.095       -60_53_3.11      153       14.7     14.684   12.886   12.335   4720   1.26   -3.23   2.15   2MASS_J02420609-6053031              -3.23    -2.95   
226    BAR05    HE0240-0807                *       RG     2_42_57.729      -7_54_35.47      -98.8     15.867   14.971   13.213   12.625   4729   1.54   -2.68   1.96   2MASS_J02425772-0754354              -2.68    -2.4    
228    SIQ14    HE0240-0807                *       RG     2_42_57.729      -7_54_35.47      -98.8     15.867   14.971   13.213   12.625   4740   1.5    -2.86   2.27   2MASS_J02425772-0754354              -2.86    -2.37   
229    HAN15    HE0243-3044                CR      RG     2_45_16.43       -30_32_2.22      *         17.11    16.1     14.649   14.17    5400   3.2    -2.6    0.9    2MASS_J02451642-3032022              -2.58    -1.5    
230    BAR05    HE0243-5238                *       RG     2_45_36.19       -52_25_57.78     112.3     14.3     13.929   12.638   12.026   5085   2.35   -3.04   1.64   2MASS_J02453619-5225577              -3.04    -2.73   
231    BAR05    HE0244-4111                *       SG     2_45_57.455      -40_59_6.82      214.3     15.531   15.025   13.795   13.404   5624   3.39   -2.56   1.38   2MASS_J02455745-4059068              -2.56    -2.24   
232    BAR05    HE0243-0753                *       RG     2_46_14.152      -7_40_53.14      -14       14.2     13.561   11.942   11.395   5066   2.29   -2.49   1.77   2MASS_J02461415-0740531              -2.49    -2.29   
233    BAR05    HE0248+039                 *       RG     2_50_59.054      0_51_31.33       48.9      16.393   15.698   14.27    13.656   5199   2.57   -2.53   1.75   2MASS_J02505905+0051313              -2.53    -2.29   
235    LAI08    CS22963-004                *       SG     2_56_46.574      -4_51_17.48      294.4     15.51    14.98    13.632   13.2     5659   3.4    -3.5    1.6    2MASS_J02564657-0451174              -3.41    -3.09   
236    ROE14b   CS22963-004                *       RG     2_56_46.574      -4_51_17.48      294.4     15.51    14.98    13.632   13.2     5060   2.15   -3.85   1.5    2MASS_J02564657-0451174              -4.09    -3.51   
237    BAR05    HE0256-1109                *       MS     2_59_10.169      -10_58_1.95      -132.3    16.157   15.608   14.424   14.085   5891   4.04   -2.73   1.69   2MASS_J02591016-1058019              -2.73    -2.28   
239    LAI08    CS31078-018                *       RG     3_1_0.696        6_16_31.89       *         13.9     13.211   11.496   10.999   5257   2.75   -2.85   1.5    2MASS_J03010069+0616318              -2.83    -2.44   
240    BAR05    HE0300-0751                *       RG     3_3_4.064        -7_39_42.33      155.5     17       16.256   14.697   14.238   5280   2.97   -2.27   1.61   2MASS_J03030406-0739423              -2.27    -2.09   
243    AND10    CS22968-014                *       RG     3_6_29.51        -54_30_32.53     158.3     14.44    13.7     12.026   11.467   4850   1.7    -3.56   1.9    2MASS_J03062950-5430325              -3.56    -3.33   
244    CAY04    CS22968-014                *       RG     3_6_29.51        -54_30_32.53     158.3     14.44    13.7     12.026   11.467   4850   1.7    -3.5    1.9    2MASS_J03062950-5430325              -3.57    -3.38   
245    COH13    HE0305-5442                *       RG     3_6_29.51        -54_30_32.53     158.3     14.44    13.7     12.026   11.467   4904   1.7    -3.3    2      2MASS_J03062950-5430325              -3.3     -3.1    
246    MCW95    CS22968-014                *       RG     3_6_29.51        -54_30_32.53     158.3     14.44    13.7     12.026   11.467   4840   1.8    -3.5    1.9    2MASS_J03062950-5430325              -3.39    -3.49   
247    ROE14b   CS22968-014                *       RG     3_6_29.51        -54_30_32.53     158.3     14.44    13.7     12.026   11.467   4540   0.6    -3.85   1.75   2MASS_J03062950-5430325              -3.99    -3.42   
248    RYA96    CS22968-014                *       RG     3_6_29.51        -54_30_32.53     158.3     14.44    13.7     12.026   11.467   4950   1.8    -3.43   2.3    2MASS_J03062950-5430325              -3.43    -2.81   
